Y,X,OBJECTID,ZONE,DESCRIPTIO,Zone_label,General_Zo,SHAPE_Leng,SHAPE_Area,Comy_detec,wd100,wd200,wd300,wd400,wd500,egc100,egc200,egc300,egc400,egc500,betcen100,betcen200,betcen300,betcen400,betcen500
5928156.16195727,1756251.64210912,2011,541,Residential 4A,4A,Residential 1 - 7,435.26194,8918.30413,25,150.82166,1357.30916,2866.35229,7584.03733,8447.28810,0.00216,0.01505,0.00998,0.01462,0.01062,0.00000,34.19048,6786.16485,4808.60869,11108.67303
5928193.95403006,1758248.00275356,2012,31,Recreation 1,1,Recreation 1 - 4,110.04053,740.80072,14,130.87765,998.52503,3490.65565,7511.16654,15265.38592,0.00533,0.01081,0.01691,0.02264,0.03382,0.00000,244598.75550,34197.08191,230348.25130,314895.44280
5928159.95131354,1753707.15552904,2013,5611,Residential 6A1,6A1,Residential 1 - 7,280.77991,4149.80962,15,331.62615,1371.77433,3383.72789,9003.82910,22562.49343,0.00591,0.01602,0.01992,0.03568,0.05042,4.00000,8310.55769,473743.08460,342271.07130,147190.29380
5928015.10790635,1753134.66995786,2014,34,Recreation 4,4,Recreation 1 - 4,1112.20390,52637.34759,15,0.00000,522.17910,2060.86806,5678.66468,16582.79809,0.00000,0.00286,0.00618,0.01423,0.02981,0.00000,0.00000,9554.96118,299156.60650,228882.83240
5928171.75017186,1755317.63931253,2015,57,Residential 7,7,Residential 1 - 7,170.91744,1348.55157,15,370.06070,1249.66422,2090.58233,5453.53449,9220.50320,0.02186,0.02135,0.01218,0.01148,0.01000,5.00000,9.42857,0.00000,27702.67718,110421.77170
5928071.98239875,1755131.3987817,2016,541,Residential 4A,4A,Residential 1 - 7,1109.16755,21964.11814,15,231.50810,1412.73182,4527.96330,5237.87471,7912.74565,0.01152,0.01963,0.01625,0.01200,0.01067,0.00000,2720.69048,537940.63420,7813.70333,8532.00152
5928068.09907185,1752606.49554902,2017,541,Residential 4A,4A,Residential 1 - 7,921.54186,23814.52163,12,0.00000,709.75351,3106.88114,10946.84307,22879.57277,0.00000,0.00634,0.01374,0.03930,0.05260,0.00000,0.00000,44072.68060,61439.04197,75944.53385
5928080.80695748,1753835.57792713,2018,541,Residential 4A,4A,Residential 1 - 7,725.82071,18128.10318,15,159.39396,1101.82447,4565.43480,13702.69612,21994.39342,0.00216,0.01440,0.03156,0.05260,0.05611,0.00000,17468.33240,8943.15906,188443.96600,489242.90390
5928115.86612997,1758509.71271168,2019,522,Residential 2B,2B,Residential 1 - 7,723.29510,25111.47719,14,0.00000,1479.76605,4085.80524,7463.63421,13003.31881,0.00000,0.01208,0.01724,0.02105,0.02959,0.00000,99987.95232,1947.56759,6859.72419,3053.91248
5928087.83372954,1752295.43669422,2020,521,Residential 2A,2A,Residential 1 - 7,376.63556,4115.09105,12,106.37125,2753.85966,6916.07999,15178.06849,21348.21745,0.00320,0.04377,0.05680,0.08342,0.07217,0.00000,3381.75856,44508.31981,190859.68850,53962.76251
5927950.5528689,1758246.67109977,2021,541,Residential 4A,4A,Residential 1 - 7,1400.62697,55729.65108,14,0.00000,907.93096,3337.32905,9784.50185,19793.98825,0.00000,0.00494,0.01629,0.03566,0.06073,0.00000,241765.42220,32538.03210,758101.82790,243085.89850
5928063.87509142,1756388.41805032,2022,541,Residential 4A,4A,Residential 1 - 7,695.47535,23625.83301,25,0.00000,2025.24332,3969.66541,7530.88081,7530.88081,0.00000,0.02159,0.01360,0.01552,0.01100,0.00000,126.07143,9767.70914,231061.14960,2339.36954
5927887.27523304,1756717.71302095,2023,41,SP-Health,1,Special Purpose 1 - 15,1699.82465,167895.39886,25,0.00000,0.00000,2421.49887,8723.67201,16003.54085,0.00000,0.00000,0.00616,0.01226,0.01530,0.00000,0.00000,1305249.94800,833309.67830,119939.21900
5928124.26858693,1751949.67071405,2024,31,Recreation 1,1,Recreation 1 - 4,774.85696,14546.42842,12,468.45848,2203.23081,4727.29815,13657.11656,20861.83517,0.01359,0.03797,0.04396,0.07122,0.06555,18.00000,645.98892,4724.72556,57263.08176,10630.83573
5927817.50964584,1755510.72530844,2025,109,Business 9,9,Business 1 - 12,2505.72361,114895.97255,15,0.00000,0.00000,426.54921,4304.54295,9716.52528,0.00000,0.00000,0.00139,0.00526,0.00784,0.00000,0.00000,0.00000,125672.69700,29458.89600
5928131.78155218,1752286.09635448,2026,522,Residential 2B,2B,Residential 1 - 7,278.81282,3931.06876,12,290.73232,1603.05984,6542.70514,15552.50114,23596.01885,0.00482,0.02746,0.05434,0.08228,0.07539,2.00000,1801.39199,17534.70344,44248.71852,135867.05440
5928016.74166015,1749310.53739955,2027,51,Residential 1,1,Residential 1 - 7,1288.60953,48926.31576,13,0.00000,787.76331,2716.78396,4806.11612,9297.56279,0.00000,0.00214,0.00558,0.00639,0.00855,0.00000,0.00000,4431.16322,955.07323,18860.96793
5927993.59979972,1754394.44849116,2028,541,Residential 4A,4A,Residential 1 - 7,876.32109,32873.46828,15,0.00000,983.09771,3027.61865,9363.20584,16467.63997,0.00000,0.00634,0.01050,0.02370,0.02704,0.00000,76475.09894,102895.35860,108124.65900,108487.42630
5928109.22755991,1749165.60105922,2029,51,Residential 1,1,Residential 1 - 7,298.76004,5613.70754,13,0.00000,274.15536,4261.17356,5729.81660,10012.88338,0.00000,0.00110,0.00945,0.00906,0.01143,0.00000,0.00000,11284.46181,1412.01595,2834.98336
5928111.36037826,1752145.67199646,2030,541,Residential 4A,4A,Residential 1 - 7,365.12552,4984.04202,12,186.53048,3458.13250,6392.09064,14624.11043,23377.80360,0.00865,0.05766,0.05792,0.08364,0.07689,0.00000,3186.61701,5403.19603,85937.05488,43208.25539
5927967.71683778,1752150.85108763,2031,522,Residential 2B,2B,Residential 1 - 7,1357.60318,26767.75160,12,558.74437,1863.51356,8514.84586,13193.10962,21354.31961,0.02662,0.04662,0.07058,0.08147,0.07343,20.00000,378.44737,372333.40970,47133.67313,42598.26950
5927919.89020133,1752237.49819104,2032,31,Recreation 1,1,Recreation 1 - 4,1896.55067,29140.38316,12,197.98623,3057.77014,6848.55588,13878.03143,22008.13349,0.00833,0.04698,0.05975,0.07953,0.07162,0.00000,1476.84034,222801.46020,47106.54813,181783.18380
5928105.54585437,1755243.22442303,2033,57,Residential 7,7,Residential 1 - 7,262.41260,3374.60285,15,512.90356,1949.26497,2913.40582,5762.42904,6761.92318,0.02134,0.02683,0.01442,0.01250,0.00922,32.00000,36.11905,1359.96406,35934.66938,7288.41394
5928087.58049243,1758197.02679637,2034,31,Recreation 1,1,Recreation 1 - 4,344.56856,2756.81916,14,0.00000,548.36950,3695.87356,7986.11279,17111.44135,0.00000,0.00360,0.01507,0.02448,0.03945,0.00000,243181.42220,1104887.29900,42633.89085,267685.77180
5927991.21051408,1754533.74262624,2035,541,Residential 4A,4A,Residential 1 - 7,1061.55390,43686.82422,15,0.00000,1015.59318,2571.54067,8170.77662,14425.05197,0.00000,0.00485,0.00879,0.01787,0.02151,0.00000,2744.00000,1630.04564,319008.25670,91276.68023
5928064.41319929,1752044.97461003,2036,541,Residential 4A,4A,Residential 1 - 7,412.06023,7638.55096,12,521.25696,2613.40492,6352.56630,12508.63358,23141.77201,0.02384,0.05146,0.05927,0.07638,0.07408,48.00000,446.61184,234683.73850,29980.60990,69226.54088
5928103.54650568,1751881.70361598,2037,541,Residential 4A,4A,Residential 1 - 7,265.90933,3776.99969,12,320.35358,1502.35362,4686.85447,10926.24772,19516.47697,0.01159,0.02584,0.03962,0.05627,0.05883,0.00000,201.82592,3988.58422,28591.53955,24962.39487
5928013.85094916,1752439.26609448,2038,541,Residential 4A,4A,Residential 1 - 7,810.61399,20245.57181,12,137.99912,2541.56623,4635.39381,12356.23824,24181.50716,0.00346,0.02683,0.03608,0.06270,0.06670,0.00000,2452.96189,18731.24953,45496.20161,93661.03242
5927945.87395826,1749131.46222377,2039,31,Recreation 1,1,Recreation 1 - 4,1790.47895,22453.43946,13,109.28250,498.06620,927.43712,3914.50609,6513.98481,0.00216,0.00214,0.00272,0.00574,0.00672,0.00000,0.00000,0.00000,453.14157,4.34168
5928060.0334048,1753284.52206022,2040,541,Residential 4A,4A,Residential 1 - 7,343.87871,5418.28946,15,0.00000,1001.58706,4067.40333,6912.89728,15857.02963,0.00000,0.00449,0.01309,0.02116,0.03273,0.00000,1371.00000,89582.38926,165195.21100,33606.87332
5928090.80474349,1758657.28962919,2041,31,Recreation 1,1,Recreation 1 - 4,115.03136,153.07692,14,0.00000,576.87487,2626.95214,4066.40562,12142.00635,0.00000,0.00493,0.01020,0.01094,0.02175,0.00000,0.00000,919.38680,1185.54083,1624.15289
5928074.63029289,1753713.66711579,2042,49,SP-Community Use,9,Special Purpose 1 - 15,332.51254,5648.14706,15,171.17560,2022.44181,4175.59807,10466.46588,22752.83169,0.00346,0.02471,0.02898,0.04505,0.05932,0.00000,61625.20310,3407.24804,148028.26990,72625.53606
5928027.79780466,1753562.21799548,2043,102,Business 2,2,Business 1 - 12,419.10543,7890.58625,15,0.00000,2198.19675,4945.30023,10656.45896,22296.38054,0.00000,0.02301,0.02762,0.04259,0.05719,0.00000,76875.55529,83993.88820,43067.10439,110458.06650
5927522.26102743,1755913.73144849,2044,34,Recreation 4,4,Recreation 1 - 4,3122.95752,516097.14434,0,0.00000,0.00000,0.00000,1367.55363,6879.67469,0.00000,0.00000,0.00000,0.00220,0.01116,0.00000,0.00000,0.00000,0.00000,442356.27440
5928060.68648148,1749551.13538298,2045,51,Residential 1,1,Residential 1 - 7,444.16962,9766.82744,13,0.00000,650.26227,2512.99719,5504.34373,12493.80658,0.00000,0.00215,0.00577,0.00746,0.01056,0.00000,57749.00000,123.36503,3712.94263,10692.74817
5928046.10618833,1756251.89744548,2046,109,Business 9,9,Business 1 - 12,372.24549,8253.21544,25,144.98099,1886.04368,3391.05760,4754.05452,8414.41580,0.00346,0.01988,0.01270,0.01167,0.01100,0.00000,75.38095,3052.14187,154.28121,2339.36954
5928016.03038537,1754718.36614314,2047,541,Residential 4A,4A,Residential 1 - 7,726.87203,29878.60579,15,0.00000,382.39188,3645.68893,7725.85031,15225.63833,0.00000,0.00146,0.00911,0.01505,0.01903,0.00000,0.00000,791569.26590,76309.82736,120712.13320
5928053.06934843,1751955.1063031,2048,32,Recreation 2,2,Recreation 1 - 4,250.05039,3337.83100,12,489.58319,2099.13520,4375.10931,11261.26342,21929.54799,0.01739,0.04136,0.04443,0.06730,0.06851,42.00000,302.84601,3939.74415,25472.69427,9513.96947
5927865.52556356,1756207.94127115,2049,541,Residential 4A,4A,Residential 1 - 7,1332.06884,79586.67475,25,0.00000,998.26399,3564.73672,4948.66922,7616.00862,0.00000,0.01072,0.01066,0.00964,0.00834,0.00000,0.00000,1139.25316,0.00000,443899.03380
5928062.17639432,1756131.86899903,2050,32,Recreation 2,2,Recreation 1 - 4,216.80301,2167.92038,25,0.00000,1239.83718,2671.83706,5589.29215,9274.91786,0.00000,0.01191,0.00922,0.01057,0.00951,0.00000,2.66667,0.80000,152.72983,261181.13810
5928012.44246513,1754021.60854396,2051,32,Recreation 2,2,Recreation 1 - 4,734.58418,9721.00273,15,0.00000,1480.84640,4735.90301,10924.99967,16337.43922,0.00000,0.01877,0.03477,0.04403,0.04550,0.00000,27437.29841,13006.38018,199861.75500,24952.94673
5928062.95090818,1755195.52106749,2052,57,Residential 7,7,Residential 1 - 7,147.48579,1348.22927,15,348.60029,1274.90155,3016.43444,5852.67214,7746.82451,0.01692,0.02144,0.01442,0.01250,0.01067,30.00000,1095.95238,1359.96406,35934.66938,8532.00152
5927903.02092143,1753350.63607283,2053,541,Residential 4A,4A,Residential 1 - 7,1150.12335,62222.18290,15,0.00000,1374.50036,3943.10595,8392.76601,20008.85595,0.00000,0.00837,0.01718,0.03252,0.05389,0.00000,8220.00000,33791.98556,31483.62551,61162.21643
5927967.9244547,1758458.22294161,2054,522,Residential 2B,2B,Residential 1 - 7,854.76591,39483.39212,14,0.00000,628.03108,4363.22527,10631.85808,16429.45470,0.00000,0.00386,0.01516,0.02991,0.04539,0.00000,97678.57779,41621.57481,151518.93260,154816.19930
5928005.17149997,1753860.6407933,2055,5611,Residential 6A1,6A1,Residential 1 - 7,506.52123,9716.86962,15,159.39396,2619.82150,6944.26477,14112.40627,18492.54606,0.00216,0.03684,0.04599,0.06070,0.05574,0.00000,30016.39574,52859.13921,60333.56549,54899.25612
5927948.84707777,1751922.50346316,2056,541,Residential 4A,4A,Residential 1 - 7,1000.48279,42530.15629,12,0.00000,1470.58449,5718.29710,9410.35848,24322.19602,0.00000,0.02134,0.04304,0.04975,0.06216,0.00000,440.00000,8616.01370,23324.56062,117568.79200
5928031.58255843,1755162.48424036,2057,57,Residential 7,7,Residential 1 - 7,181.00517,2022.43108,15,392.23604,1010.18148,3905.15696,5391.51948,7964.53137,0.01351,0.01846,0.01546,0.01200,0.01067,14.00000,1086.19048,14197.56885,7813.70333,8532.00152
5928024.70133604,1752111.25423663,2058,541,Residential 4A,4A,Residential 1 - 7,208.28194,2529.98671,12,577.58592,2189.41130,5525.34466,14894.08637,22273.01287,0.02814,0.05228,0.05716,0.08600,0.07526,28.00000,193.35197,130668.88830,79517.08441,33068.80911
5927910.27114484,1753690.20880534,2059,102,Business 2,2,Business 1 - 12,958.34375,47049.76902,15,0.00000,2816.16234,7308.39671,12672.43199,21681.00463,0.00000,0.03531,0.04867,0.06155,0.07021,0.00000,63142.60959,929171.04470,21000.32664,29798.42712
5927956.68113346,1749664.65983841,2060,82,Rural 2,2,Rural 1 - 4,474.21636,10980.45625,13,0.00000,618.18376,1678.00258,4584.91509,7184.64017,0.00000,0.00218,0.00334,0.00534,0.00582,0.00000,59004.00000,15500.00000,8654.92862,138812.71420
5927984.63885547,1756290.29788776,2061,57,Residential 7,7,Residential 1 - 7,204.64417,1080.10764,25,289.25087,2254.47028,3210.26491,4674.46989,8348.03571,0.00591,0.02307,0.01270,0.01167,0.01090,4.00000,37.76190,3052.14187,154.28121,6106.49694
5927871.65396765,1754853.73307303,2062,541,Residential 4A,4A,Residential 1 - 7,1376.45200,54635.71528,15,0.00000,352.02817,3502.42609,8464.84515,19666.24565,0.00000,0.00236,0.00952,0.01608,0.02324,0.00000,0.00000,1343568.63000,54828.19219,261665.26480
5927950.02588912,1756353.57002482,2063,541,Residential 4A,4A,Residential 1 - 7,468.51564,10817.43381,25,323.37332,1799.96724,2756.97997,4714.29427,9273.03847,0.00591,0.02099,0.01179,0.01163,0.01164,4.00000,97.21429,1709.39716,40399.66256,17686.01909
5927965.97217539,1755087.61965605,2064,57,Residential 7,7,Residential 1 - 7,388.46990,6110.22867,15,199.13308,1441.92952,2455.99617,7348.76485,13002.05966,0.00541,0.01203,0.01028,0.01327,0.01495,0.00000,1643.50000,3018.26186,1099451.69800,619668.79870
5928001.79655661,1756521.34746516,2065,101,Business 1,1,Business 1 - 12,123.31246,763.68758,25,100.10788,1381.63446,2846.06817,7157.80539,14443.12651,0.00216,0.01393,0.01019,0.01359,0.01506,0.00000,352.00000,646248.81010,109832.57490,199531.72570
5927920.94070876,1753180.1846405,2066,541,Residential 4A,4A,Residential 1 - 7,489.88843,8141.62424,15,0.00000,899.91433,1448.95458,7334.58403,14679.42789,0.00000,0.00449,0.00596,0.01950,0.03245,0.00000,1371.00000,9964.51241,453353.98880,26026.75658
5927964.4373712,1756488.05006323,2067,57,Residential 7,7,Residential 1 - 7,256.88960,3813.64917,25,100.10788,1252.86872,3259.21175,6116.63601,14344.74591,0.00216,0.01626,0.01134,0.01259,0.01506,0.00000,13.35714,650009.49640,65604.46459,199531.72570
5927975.39531634,1752105.22875985,2068,541,Residential 4A,4A,Residential 1 - 7,163.59278,1618.22199,12,506.07946,1794.01286,7837.96521,14191.87869,20606.11055,0.02998,0.04499,0.06716,0.08427,0.07182,22.00000,335.53248,25962.90274,74027.54363,82895.07177
5927935.86074279,1754091.96077008,2069,541,Residential 4A,4A,Residential 1 - 7,377.18489,6771.79970,15,131.39316,2203.59689,4870.83941,8186.56716,17017.99199,0.00377,0.03424,0.03707,0.03960,0.04671,0.00000,41123.81191,26983.98676,24376.86867,37304.81790
5927903.38055304,1754030.44197087,2070,5611,Residential 6A1,6A1,Residential 1 - 7,666.58250,15018.07276,15,323.20230,1690.34457,4847.07462,9814.85051,17102.47778,0.00735,0.03458,0.04104,0.04704,0.05042,8.00000,9360.41353,18813.50066,49828.26746,91073.71194
5927945.51258205,1752429.85201093,2071,31,Recreation 1,1,Recreation 1 - 4,204.84244,2304.39063,12,315.61089,1626.30753,4952.53259,10958.41014,22026.81477,0.00591,0.02522,0.03789,0.05955,0.06459,4.00000,403.19533,100023.67720,18259.33665,79957.86685
5927875.71097301,1753822.92352718,2072,49,SP-Community Use,9,Special Purpose 1 - 15,550.61037,11594.14738,15,145.99861,1968.88000,7917.24249,13328.07675,19824.69114,0.00459,0.04036,0.05857,0.06517,0.06743,0.00000,2476.48935,23111.84929,83597.60572,9641.32483
5927921.54813054,1753512.28793543,2073,57,Residential 7,7,Residential 1 - 7,194.47061,2427.92229,15,153.55890,1409.96983,4558.61897,12253.82652,22983.32769,0.00320,0.01626,0.02714,0.05085,0.06631,0.00000,30270.50128,444955.29230,65961.40960,335053.54460
5927918.38192226,1752109.01988655,2074,541,Residential 4A,4A,Residential 1 - 7,230.16937,3286.14082,12,243.69938,1987.82394,7504.88543,13018.72576,19142.37106,0.01735,0.04379,0.06360,0.07727,0.06692,0.00000,487.72772,11647.01744,24416.65260,4675.98740
5927862.97228237,1752462.56236973,2075,541,Residential 4A,4A,Residential 1 - 7,402.28176,5595.44117,12,373.66175,1621.73760,4627.33131,10873.11610,18860.33572,0.00591,0.02005,0.03042,0.05411,0.05579,4.00000,658.28013,53707.30740,23756.19502,13574.14441
5927880.57424874,1754239.12893529,2076,5611,Residential 6A1,6A1,Residential 1 - 7,567.38080,11039.09357,15,0.00000,1708.33800,4091.59554,9699.34686,17987.75026,0.00000,0.01401,0.02310,0.03365,0.03900,0.00000,78853.91706,141967.25280,75325.03307,144927.67960
5927866.41310184,1751829.483814,2077,541,Residential 4A,4A,Residential 1 - 7,386.07035,6511.88819,12,0.00000,241.85613,4820.07741,11148.93463,19334.79206,0.00000,0.00314,0.03145,0.04749,0.04994,0.00000,0.00000,110786.14210,451881.70210,66824.17475
5927772.28467001,1756958.70579883,2078,31,Recreation 1,1,Recreation 1 - 4,1207.42803,27957.79281,25,181.16040,418.33158,1356.01115,4250.40040,9725.92866,0.00216,0.00314,0.00427,0.00684,0.01065,0.00000,0.00000,0.00000,66354.47563,104487.13290
5927889.54115393,1756419.58508797,2079,57,Residential 7,7,Residential 1 - 7,244.90791,3567.42195,25,179.10344,1360.49713,2841.89380,6267.46279,9831.31977,0.00346,0.01626,0.01044,0.01210,0.01167,0.00000,13.35714,10857.03169,179666.51090,136373.38650
5927834.90895234,1753917.4966476,2080,5611,Residential 6A1,6A1,Residential 1 - 7,469.01335,14938.50637,15,151.98628,2719.94084,5614.71441,12079.40021,18282.41874,0.00459,0.05309,0.05025,0.06108,0.06251,0.00000,20657.36370,2758.94704,257769.00830,16095.89795
5927717.08971482,1754019.69154104,2081,541,Residential 4A,4A,Residential 1 - 7,2122.97720,55133.22166,15,184.20968,2110.85528,5139.94597,12034.01381,25635.24212,0.00372,0.03969,0.04382,0.06256,0.08289,0.00000,14451.94313,412238.54190,34510.75743,180389.33270
5927640.68181702,1751298.0774698,2082,31,Recreation 1,1,Recreation 1 - 4,2627.24198,28279.71036,22,107.28951,693.66314,1103.15720,1743.45234,6273.56982,0.00216,0.00587,0.00378,0.00471,0.01053,0.00000,0.00000,0.00000,0.00000,88.37924
5927617.53748171,1752544.78056864,2083,541,Residential 4A,4A,Residential 1 - 7,2115.73502,91282.38482,12,0.00000,736.62918,4935.98400,10625.82279,15853.19537,0.00000,0.00368,0.01791,0.03516,0.04065,0.00000,876.00000,114097.22700,41088.17520,44588.46521
5927761.48115948,1754680.96607507,2084,32,Recreation 2,2,Recreation 1 - 4,1115.45023,39640.48284,15,182.12655,1574.49022,4225.47666,7201.54656,14599.44792,0.00496,0.01641,0.01606,0.01953,0.02760,0.00000,36471.39480,325307.64080,67520.32132,45538.08484
5927811.7825906,1758439.05181318,2085,522,Residential 2B,2B,Residential 1 - 7,717.92930,25067.43633,14,0.00000,966.81726,2386.35338,8561.39201,15722.85347,0.00000,0.00487,0.01252,0.04358,0.05065,0.00000,96262.57779,1420.90820,20376.12743,9816.69764
5927810.24120945,1752289.19134269,2086,541,Residential 4A,4A,Residential 1 - 7,394.26334,5793.86872,12,454.57414,1404.10676,6573.37606,12842.54844,21226.92525,0.00916,0.02292,0.04814,0.06721,0.06355,10.00000,172.65679,55529.26616,81109.73585,21678.94268
5927845.69012185,1753524.03760843,2087,57,Residential 7,7,Residential 1 - 7,270.89647,3520.89298,15,341.00377,1435.20363,3989.78377,15840.75045,24111.52073,0.00482,0.01626,0.02742,0.06791,0.07554,2.00000,30270.50128,35879.19014,330354.94270,55883.03206
5927853.91786193,1751269.91076819,2088,522,Residential 2B,2B,Residential 1 - 7,230.35669,2415.99069,22,107.28951,1121.08632,1121.08632,2523.72602,6153.92386,0.00216,0.00748,0.00378,0.00603,0.01104,0.00000,0.66667,0.00000,284.41076,12.72493
5927830.79217696,1752360.27093233,2089,541,Residential 4A,4A,Residential 1 - 7,414.59760,9456.58739,12,156.24074,1843.07942,5333.95033,13724.97399,18251.27411,0.00459,0.02625,0.04361,0.06898,0.05780,0.00000,794.95787,35939.25742,96869.37897,14885.37321
5927846.44038772,1749156.14195126,2090,51,Residential 1,1,Residential 1 - 7,492.55216,8529.32218,13,109.28250,508.26212,1034.31227,1833.46692,8084.04726,0.00216,0.00214,0.00272,0.00307,0.00703,0.00000,0.00000,0.00000,0.00000,15204.75496
5927731.00483774,1749483.16667889,2091,82,Rural 2,2,Rural 1 - 4,1795.80306,98434.14775,13,0.00000,0.00000,1040.96031,3215.70194,5113.71728,0.00000,0.00000,0.00109,0.00285,0.00355,0.00000,0.00000,7752.00000,20.27831,40748.57418
5927835.54227395,1758180.90731702,2092,31,Recreation 1,1,Recreation 1 - 4,173.66475,861.40417,25,157.93356,695.67342,4202.40280,9929.82271,17311.10183,0.00216,0.00679,0.02784,0.06337,0.07577,0.00000,8635.00698,439803.24840,244122.01230,36554.29639
5927741.52158811,1751126.76004568,2093,522,Residential 2B,2B,Residential 1 - 7,741.80882,27247.11596,22,0.00000,1212.82385,2153.60597,3559.32901,10837.20583,0.00000,0.00748,0.00651,0.00892,0.01875,0.00000,0.66667,329.21774,49.02394,1920.66283
5927705.13685866,1754296.60488585,2094,541,Residential 4A,4A,Residential 1 - 7,1185.73932,64514.86996,15,0.00000,337.73095,4496.30006,11876.20563,20123.13531,0.00000,0.00252,0.01932,0.03272,0.04162,0.00000,0.00000,214708.21180,424103.27360,269367.89130
5927713.74602769,1752761.1467873,2095,541,Residential 4A,4A,Residential 1 - 7,831.09038,25691.57221,12,185.39277,185.39277,1650.30322,5037.22125,15899.39039,0.00216,0.00105,0.00447,0.01417,0.03580,0.00000,0.00000,4191.99947,29529.29588,134710.25590
5927806.78424271,1753846.91718415,2096,32,Recreation 2,2,Recreation 1 - 4,228.85358,2895.71843,15,463.04006,2864.66372,7552.55417,13372.81967,19632.13647,0.00916,0.05464,0.05857,0.06794,0.06803,10.00000,5250.63433,23111.84929,34893.52118,20757.18773
5927804.76115216,1752022.81395978,2097,5211,Residential 2A1,2A1,Residential 1 - 7,465.05607,8778.46164,12,161.65868,1091.22590,5985.35476,14547.93217,22863.30505,0.00216,0.01651,0.04652,0.06840,0.06500,0.00000,149.96052,418879.22450,235865.35210,85707.72498
5927794.01936836,1756924.51600208,2098,34,Recreation 4,4,Recreation 1 - 4,301.99637,5064.02675,25,0.00000,1180.53702,2770.31484,4898.17253,11265.16157,0.00000,0.00610,0.00755,0.00919,0.01307,0.00000,1457.36190,341591.21530,1372.17055,195836.51730
5927815.55096726,1754490.11112093,2099,101,Business 1,1,Business 1 - 12,118.34091,910.34177,15,118.52918,1502.56037,5152.74112,5933.38872,14992.51705,0.00320,0.01154,0.01776,0.01787,0.02713,0.00000,75937.73096,326490.42080,8552.42197,246317.08170
5927815.76499622,1754099.87038217,2100,5611,Residential 6A1,6A1,Residential 1 - 7,141.88742,1278.04846,15,114.22491,1818.91943,4833.98700,8247.57829,17090.90852,0.00485,0.03478,0.03735,0.03971,0.04735,0.00000,27010.84628,25304.91721,13992.26046,78202.52799
5927808.35627247,1754043.25284621,2101,5611,Residential 6A1,6A1,Residential 1 - 7,212.79144,2675.94911,15,411.79460,1589.65147,5481.24572,9932.39445,16359.34936,0.01029,0.03862,0.04321,0.04991,0.04944,16.00000,839.43553,352586.90560,47813.67961,40544.87215
